None
loss tensor(0.1674, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0021, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-9.4572e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(9.5398e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0021, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0051, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0016, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-8.3767e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(6.4016e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0021, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0018, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0024, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0040, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0039, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0026, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0039, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0052, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0018, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0068, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0042, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0041, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0021, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0064, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0047, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0047, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0076, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0061, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0047, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0016, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0058, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0018, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0038, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0062, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0053, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0091, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0033, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0069, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0029, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0034, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0076, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0054, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0110, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0054, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0070, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0065, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0026, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0041, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(5.0054e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0050, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0048, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0021, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0033, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0037, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0040, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0052, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0029, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0064, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0072, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-9.6878e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0086, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0067, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0038, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0080, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0033, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0026, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0101, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0037, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-1.1627e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0067, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0019, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0054, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0010, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-2.1208e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-5.1553e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0011, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-2.6108e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0029, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(5.8543e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(9.9595e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0003, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-7.8294e-05, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0028, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0024, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0024, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0037, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0053, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0019, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0037, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0026, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0036, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0071, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0026, device='cuda:0', grad_fn=<DivBackward0>)
