loss tensor(3.3409, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(171.7479, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(175.2564, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(178.7649, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(182.2733, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(185.7818, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(189.2903, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(192.7988, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(196.3073, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(199.8158, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(203.3242, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(206.8327, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(210.3412, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(213.8497, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(217.3582, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(220.8667, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(224.3752, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(227.8836, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(231.3921, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(234.9006, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(238.4091, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(241.9176, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(245.4261, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(248.9345, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(252.4430, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(255.9515, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(259.4600, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(262.9685, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(266.4770, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(269.9854, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(273.4939, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(277.0024, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(280.5109, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(284.0194, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(287.5279, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(291.0363, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(294.5448, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(298.0533, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(301.5618, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(305.0703, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(308.5788, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(312.0872, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(315.5957, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(319.1042, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(322.6127, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(326.1212, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(329.6297, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(333.1382, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(336.6466, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(340.1551, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(343.6636, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(347.1721, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(350.6806, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(354.1891, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(357.6975, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(361.2060, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(364.7145, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(368.2230, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(371.7315, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(375.2400, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(378.7484, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(382.2569, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(385.7654, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(389.2739, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(392.7824, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(396.2909, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(399.7993, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(403.3078, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(406.8163, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(410.3248, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(413.8333, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(417.3418, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(420.8503, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(424.3587, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(427.8672, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(431.3757, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(434.8842, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(438.3927, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(441.9012, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(445.4096, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(448.9181, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(452.4266, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(455.9351, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(459.4436, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(462.9521, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(466.4605, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(469.9690, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(473.4775, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(476.9860, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(480.4945, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(484.0030, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(487.5114, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(491.0199, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(494.5284, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(498.0369, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(501.5454, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(505.0539, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(508.5623, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(512.0708, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(515.5793, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(519.0878, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(522.5963, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(526.1047, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(529.6132, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(533.1217, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(536.6302, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(540.1387, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(543.6472, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(547.1556, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(550.6641, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(554.1726, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(557.6811, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(561.1896, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(564.6981, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(568.2065, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(571.7150, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(575.2235, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(578.7320, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(582.2405, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(585.7490, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(589.2574, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(592.7659, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(596.2744, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(599.7829, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(603.2914, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(606.7999, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(610.3083, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(613.8168, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(617.3253, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(620.8338, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(624.3423, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(627.8508, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(631.3593, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(634.8677, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(638.3762, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(641.8847, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(645.3932, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(648.9017, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(652.4102, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(655.9186, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(659.4271, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(662.9356, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(666.4441, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(669.9526, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(673.4611, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(676.9695, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(680.4780, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(683.9865, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(687.4950, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(691.0035, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(694.5120, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(698.0204, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(701.5289, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(705.0374, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(708.5459, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(712.0544, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(715.5629, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(719.0714, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(722.5798, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(726.0883, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(729.5968, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(733.1053, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(736.6138, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(740.1223, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(743.6307, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(747.1392, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(750.6477, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(754.1562, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(757.6647, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(761.1732, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(764.6816, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(768.1901, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(771.6986, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(775.2071, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(778.7156, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(782.2241, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(785.7325, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(789.2410, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(792.7495, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(796.2580, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(799.7665, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(803.2750, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(806.7834, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(810.2919, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(813.8004, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(817.3089, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(820.8174, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(824.3259, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(827.8344, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(831.3428, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(834.8513, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(838.3598, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(841.8683, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(845.3768, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(848.8853, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(852.3937, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(855.9022, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(859.4107, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(862.9192, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(866.4277, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(869.9362, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(873.4446, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(876.9531, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(880.4616, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(883.9701, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(887.4786, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(890.9871, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(894.4955, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(898.0040, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(901.5125, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(905.0210, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(908.5295, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(912.0380, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(915.5464, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(919.0549, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(922.5634, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(926.0719, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(929.5804, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(933.0889, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(936.5974, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(940.1058, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(943.6143, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(947.1228, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(950.6313, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(954.1398, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(957.6483, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(961.1567, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(964.6652, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(968.1737, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(971.6822, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(975.1907, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(978.6992, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(982.2076, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(985.7161, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(989.2246, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(992.7331, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(996.2416, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(999.7501, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1003.2585, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1006.7670, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1010.2755, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1013.7840, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1017.2925, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1020.8010, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1024.3094, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1027.8179, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1031.3263, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1034.8347, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1038.3431, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1041.8516, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1045.3600, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1048.8684, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1052.3768, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1055.8853, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1059.3937, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1062.9021, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1066.4105, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1069.9189, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1073.4274, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1076.9358, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1080.4442, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1083.9526, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1087.4611, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1090.9695, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1094.4779, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1097.9863, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1101.4948, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1105.0032, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1108.5116, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1112.0200, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1115.5284, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1119.0369, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1122.5453, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1126.0537, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1129.5621, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1133.0706, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1136.5790, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1140.0874, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1143.5958, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1147.1042, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1150.6127, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1154.1211, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1157.6295, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1161.1379, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1164.6464, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1168.1548, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1171.6632, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1175.1716, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1178.6801, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1182.1885, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1185.6969, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1189.2053, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1192.7137, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1196.2222, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1199.7306, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1203.2390, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1206.7474, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1210.2559, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1213.7643, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1217.2727, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1220.7811, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1224.2896, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1227.7980, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1231.3064, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1234.8148, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1238.3232, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1241.8317, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1245.3401, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1248.8485, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1252.3569, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1255.8654, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1259.3738, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1262.8822, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1266.3906, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1269.8990, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1273.4075, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1276.9159, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1280.4243, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1283.9327, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1287.4412, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1290.9496, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1294.4580, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1297.9664, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1301.4749, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1304.9833, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1308.4917, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1312.0001, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1315.5085, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1319.0170, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1322.5254, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1326.0338, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1329.5422, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1333.0507, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1336.5591, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1340.0675, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1343.5759, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1347.0844, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1350.5928, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1354.1012, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1357.6096, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1361.1180, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1364.6265, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1368.1349, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1371.6433, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1375.1517, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1378.6602, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1382.1686, device='cuda:0', grad_fn=<AddBackward0>)
loss tensor(1385.6770, device='cuda:0', grad_fn=<AddBackward0>)
