Game start! 
Dice => [4, 5]
Dice => [4, 5]
Dice => [2, 1]
Dice => [3, 1]
Dice => [2, 1]
Dice => [1, 3]
Dice => [3, 3]
Dice => [4, 1]
Dice => [5, 4]
Dice => [6, 2]
Dice => [4, 6]
Dice => [5, 6]
Dice => [3, 2]
Dice => [6, 5]
Dice => [6, 1]
Dice => [2, 4]
Dice => [4, 6]
Dice => [5, 4]
Dice => [3, 6]
Dice => [2, 6]
Community_chest Card => doctor_fee
Dice => [6, 6]
Dice => [1, 4]
Dice => [3, 1]
Dice => [1, 4]
Dice => [3, 1]
Chance Card => go_to_st_charles
Dice => [1, 5]
Community_chest Card => grand_opera_night
Dice => [6, 4]
Dice => [3, 5]
Dice => [3, 4]
Community_chest Card => bank_error
Dice => [2, 4]
Dice => [2, 2]
Dice => [5, 2]
Dice => [4, 6]
Dice => [1, 5]
Dice => [6, 4]
Dice => [4, 3]
Dice => [6, 6]
Dice => [1, 1]
Dice => [3, 5]
Dice => [3, 3]
Dice => [1, 6]
Chance Card => advance_to_go
Dice => [2, 6]
Dice => [1, 4]
Dice => [2, 6]
Dice => [4, 4]
Dice => [1, 5]
Dice => [4, 5]
Dice => [4, 1]
Dice => [6, 4]
Dice => [1, 5]
Dice => [4, 1]
Dice => [4, 3]
Community_chest Card => win_beauty_contest
Dice => [3, 5]
Dice => [6, 2]
Community_chest Card => consultancy_fee
Dice => [5, 1]
Dice => [5, 1]
St.-Charles-Place is rented-4-house at 625
St.-Charles-Place is mortgaged at 70
St.-Charles-Place is priced at 140
Electric-Company is located at 12
Electric-Company is classified as utility
Electric-Company is mortgaged at 75
Electric-Company is priced at 150
States-Avenue is located at 13
States-Avenue is classified as real_estate
States-Avenue is colored as Orchid
States-Avenue is price-1-house at 10
States-Avenue is rented-1-hotel at 750
States-Avenue is rented-0-house at 10
States-Avenue is rented-1-house at 50
States-Avenue is rented-2-house at 150
States-Avenue is rented-3-house at 450
States-Avenue is rented-4-house at 625
States-Avenue is mortgaged at 70
States-Avenue is priced at 140
Virginia-Avenue is located at 14
Virginia-Avenue is classified as real_estate
Virginia-Avenue is colored as Orchid
Virginia-Avenue is price-1-house at 12
Virginia-Avenue is rented-1-hotel at 900
Virginia-Avenue is rented-0-house at 12
Virginia-Avenue is rented-1-house at 60
Virginia-Avenue is rented-2-house at 180
Virginia-Avenue is rented-3-house at 500
Virginia-Avenue is rented-4-house at 700
Virginia-Avenue is mortgaged at 80
Virginia-Avenue is priced at 160
Pennsylvania-Railroad is located at 15
Pennsylvania-Railroad is classified as railroad
Pennsylvania-Railroad is mortgaged at 100
Pennsylvania-Railroad is priced at 200
St.-James-Place is located at 16
St.-James-Place is classified as real_estate
St.-James-Place is colored as Orange
St.-James-Place is price-1-house at 100
St.-James-Place is rented-1-hotel at 950
St.-James-Place is rented-0-house at 14
St.-James-Place is rented-1-house at 70
St.-James-Place is rented-2-house at 200
St.-James-Place is rented-3-house at 550
St.-James-Place is rented-4-house at 750
St.-James-Place is mortgaged at 90
St.-James-Place is priced at 180
Community-Chest is located at 17
Community-Chest is classified as action
Tennessee-Avenue is located at 18
Tennessee-Avenue is classified as real_estate
Tennessee-Avenue is colored as Orange
Tennessee-Avenue is price-1-house at 100
Tennessee-Avenue is rented-1-hotel at 950
Tennessee-Avenue is rented-0-house at 14
Tennessee-Avenue is rented-1-house at 70
Tennessee-Avenue is rented-2-house at 200
Tennessee-Avenue is rented-3-house at 550
Tennessee-Avenue is rented-4-house at 750
Tennessee-Avenue is mortgaged at 90
Tennessee-Avenue is priced at 180
New-York-Avenue is located at 19
New-York-Avenue is classified as real_estate
New-York-Avenue is colored as Orange
New-York-Avenue is price-1-house at 100
New-York-Avenue is rented-1-hotel at 1000
New-York-Avenue is rented-0-house at 16
New-York-Avenue is rented-1-house at 80
New-York-Avenue is rented-2-house at 220
New-York-Avenue is rented-3-house at 600
New-York-Avenue is rented-4-house at 800
New-York-Avenue is mortgaged at 100
New-York-Avenue is priced at 200
Free-Parking is located at 20
Free-Parking is classified as do_nothing
Kentucky-Avenue is located at 21
Kentucky-Avenue is classified as real_estate
Kentucky-Avenue is colored as Red
Kentucky-Avenue is price-1-house at 150
Kentucky-Avenue is rented-1-hotel at 1050
Kentucky-Avenue is rented-0-house at 18
Kentucky-Avenue is rented-1-house at 90
Kentucky-Avenue is rented-2-house at 250
Kentucky-Avenue is rented-3-house at 700
Kentucky-Avenue is rented-4-house at 875
Kentucky-Avenue is mortgaged at 110
Kentucky-Avenue is priced at 220
Chance is located at 22
Chance is classified as action
Indiana-Avenue is located at 23
Indiana-Avenue is classified as real_estate
Indiana-Avenue is colored as Red
Indiana-Avenue is price-1-house at 150
Indiana-Avenue is rented-1-hotel at 1050
Indiana-Avenue is rented-0-house at 18
Indiana-Avenue is rented-1-house at 90
Indiana-Avenue is rented-2-house at 250
Indiana-Avenue is rented-3-house at 700
Indiana-Avenue is rented-4-house at 875
Indiana-Avenue is mortgaged at 110
Indiana-Avenue is priced at 220
Illinois-Avenue is located at 24
Illinois-Avenue is classified as real_estate
Illinois-Avenue is colored as Red
Illinois-Avenue is price-1-house at 150
Illinois-Avenue is rented-1-hotel at 1100
Illinois-Avenue is rented-0-house at 20
Illinois-Avenue is rented-1-house at 100
Illinois-Avenue is rented-2-house at 300
Illinois-Avenue is rented-3-house at 750
Illinois-Avenue is rented-4-house at 925
Illinois-Avenue is mortgaged at 120
Illinois-Avenue is priced at 240
B-O-Railroad is located at 25
B-O-Railroad is classified as railroad
B-O-Railroad is mortgaged at 100
B-O-Railroad is priced at 200
Atlantic-Avenue is located at 26
Atlantic-Avenue is classified as real_estate
Atlantic-Avenue is colored as Yellow
Atlantic-Avenue is price-1-house at 150
Atlantic-Avenue is rented-1-hotel at 1150
Atlantic-Avenue is rented-0-house at 22
Atlantic-Avenue is rented-1-house at 110
Atlantic-Avenue is rented-2-house at 330
Atlantic-Avenue is rented-3-house at 800
Atlantic-Avenue is rented-4-house at 975
Atlantic-Avenue is mortgaged at 130
Atlantic-Avenue is priced at 260
Ventnor-Avenue is located at 27
Ventnor-Avenue is classified as real_estate
Ventnor-Avenue is colored as Yellow
Ventnor-Avenue is price-1-house at 150
Ventnor-Avenue is rented-1-hotel at 1150
Ventnor-Avenue is rented-0-house at 22
Ventnor-Avenue is rented-1-house at 110
Ventnor-Avenue is rented-2-house at 330
Ventnor-Avenue is rented-3-house at 800
Ventnor-Avenue is rented-4-house at 975
Ventnor-Avenue is mortgaged at 130
Ventnor-Avenue is priced at 260
Water-Works is located at 28
Water-Works is classified as utility
Water-Works is mortgaged at 75
Water-Works is priced at 150
Marvin-Gardens is located at 29
Marvin-Gardens is classified as real_estate
Marvin-Gardens is colored as Yellow
Marvin-Gardens is price-1-house at 150
Marvin-Gardens is rented-1-hotel at 1200
Marvin-Gardens is rented-0-house at 24
Marvin-Gardens is rented-1-house at 120
Marvin-Gardens is rented-2-house at 360
Marvin-Gardens is rented-3-house at 850
Marvin-Gardens is rented-4-house at 1025
Marvin-Gardens is mortgaged at 140
Marvin-Gardens is priced at 280
Pacific-Avenue is located at 31
Pacific-Avenue is classified as real_estate
Pacific-Avenue is colored as Green
Pacific-Avenue is price-1-house at 200
Pacific-Avenue is rented-1-hotel at 1275
Pacific-Avenue is rented-0-house at 26
Pacific-Avenue is rented-1-house at 130
Pacific-Avenue is rented-2-house at 390
Pacific-Avenue is rented-3-house at 900
Pacific-Avenue is rented-4-house at 1100
Pacific-Avenue is mortgaged at 150
Pacific-Avenue is priced at 300
North-Carolina-Avenue is located at 32
North-Carolina-Avenue is classified as real_estate
North-Carolina-Avenue is colored as Green
North-Carolina-Avenue is price-1-house at 200
North-Carolina-Avenue is rented-1-hotel at 1275
North-Carolina-Avenue is rented-0-house at 26
North-Carolina-Avenue is rented-1-house at 130
North-Carolina-Avenue is rented-2-house at 390
North-Carolina-Avenue is rented-3-house at 900
North-Carolina-Avenue is rented-4-house at 1100
North-Carolina-Avenue is mortgaged at 150
North-Carolina-Avenue is priced at 300
Community-Chest is located at 33
Community-Chest is classified as action
Pennsylvania-Avenue is located at 34
Pennsylvania-Avenue is classified as real_estate
Pennsylvania-Avenue is colored as Green
Pennsylvania-Avenue is price-1-house at 200
Pennsylvania-Avenue is rented-1-hotel at 1400
Pennsylvania-Avenue is rented-0-house at 28
Pennsylvania-Avenue is rented-1-house at 150
Pennsylvania-Avenue is rented-2-house at 450
Pennsylvania-Avenue is rented-3-house at 1000
Pennsylvania-Avenue is rented-4-house at 1200
Pennsylvania-Avenue is mortgaged at 160
Pennsylvania-Avenue is priced at 320
Short-Line is located at 35
Short-Line is classified as railroad
Short-Line is mortgaged at 100
Short-Line is priced at 200
Chance is located at 36
Chance is classified as action
Park-Place is located at 37
Park-Place is classified as real_estate
Park-Place is colored as Blue
Park-Place is price-1-house at 200
Park-Place is rented-1-hotel at 1500
Park-Place is rented-0-house at 35
Park-Place is rented-1-house at 175
Park-Place is rented-2-house at 500
Park-Place is rented-3-house at 1100
Park-Place is rented-4-house at 1300
Park-Place is mortgaged at 175
Park-Place is priced at 350
Luxury-Tax is located at 38
Luxury-Tax is classified as tax
Luxury-Tax is cost at 100
Boardwalk is located at 39
Boardwalk is classified as real_estate
Boardwalk is colored as Blue
Boardwalk is price-1-house at 200
Boardwalk is rented-1-hotel at 2000
Boardwalk is rented-0-house at 50
Boardwalk is rented-1-house at 200
Boardwalk is rented-2-house at 600
Boardwalk is rented-3-house at 1400
Boardwalk is rented-4-house at 1700
Boardwalk is mortgaged at 200
Boardwalk is priced at 400
GO is incremtent as 200
GO is located at 0
